Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
29880,0.0208,2097.453333333333,140.7026666666667,72.3078,4.708826666666667,2.47144,12.42313333333333,4.611986666666667,0.00026971,0.0142766,102.1913333333333,4.708826666666667,14.90693333333333,40.11239999999999
30240,0.0208,2108.6,141.01,71.801,4.7808,2.5066,12.435,4.6518,0.00026511,0.015111,97.80500000000001,4.7808,14.954,40.1
30240,0.0208,2108.6,141.01,71.801,4.7808,2.5066,12.435,4.6518,0.00026511,0.015111,97.80500000000001,4.7808,14.954,40.1
30600,0.1875,2084.3,143.204,75.1198,4.75938,2.89504,11.6474,5.04156,0.000387974,0.09473760000000001,54.4236,4.75938,14.555,39.3318
30960,0.1875,2094.6,143.1233333333333,75.36433333333333,4.7578,2.863233333333333,11.75933333333333,5.009266666666667,0.0008884133333333333,0.050564,57.146,4.757733333333333,14.63466666666667,39.41566666666667
31320,0.1875,2101.566666666667,143.0233333333333,76.17999999999999,4.764733333333333,2.867266666666667,11.814,5.012733333333333,0.0009681533333333333,0.06622333333333334,57.297,4.764833333333333,14.69433333333333,39.48966666666666
31680,0.1875,2104.566666666667,142.9333333333333,76.93066666666667,4.772533333333333,2.869966666666667,11.84166666666667,5.015033333333333,0.001031166666666667,0.075214,57.557,4.772666666666667,14.72466666666667,39.535
32040,0.1875,2105.633333333333,142.8433333333333,77.628,4.780366666666667,2.871966666666667,11.856,5.0165,0.001073,0.08178333333333333,57.866,4.780366666666667,14.741,39.56533333333334
32400,0.1875,2105.8,142.7633333333333,78.27966666666667,4.788033333333333,2.8736,11.86433333333333,5.0176,0.001101433333333333,0.08557466666666666,58.19,4.788033333333333,14.75066666666667,39.58866666666667
32760,0.1875,2105.7,142.6966666666667,78.89233333333334,4.795533333333333,2.875033333333333,11.86933333333333,5.018566666666667,0.0011219,0.088479,58.509,4.795500000000001,14.75633333333333,39.60599999999999
33120,0.1875,2105.5,142.6433333333333,79.46833333333333,4.802766666666667,2.8764,11.872,5.019366666666667,0.001138366666666667,0.09068,58.81466666666667,4.8027,14.76133333333333,39.619
33480,0.1875,2105.4,142.5991111111111,80.01493333333333,4.809686666666667,2.8777,11.87408888888889,5.020191111111111,0.001153082222222222,0.09258533333333333,59.10784444444445,4.809686666666667,14.76417777777778,39.63026666666667
33840,0.1875,2105.608888888889,142.55,80.70755555555554,4.818404444444444,2.878726666666667,11.87917777777778,5.020717777777778,0.001173691111111111,0.09442548888888889,59.52126666666666,4.818404444444444,14.77108888888889,39.64326666666667
34200,0.1875,2106,142.52,81.40328888888889,4.827395555555555,2.880235555555555,11.88308888888889,5.021717777777778,0.001192217777777778,0.09721126666666667,59.88708888888889,4.827395555555555,14.77617777777778,39.65417777777778
34560,0.1875,2106.308888888889,142.4991111111111,82.0881111111111,4.836195555555555,2.881735555555555,11.88708888888889,5.022717777777778,0.001211008888888889,0.09987233333333333,60.24791111111112,4.836195555555555,14.78108888888889,39.66317777777778
34920,0.1875,2106.608888888889,142.4791111111111,82.76184444444445,4.844995555555556,2.883235555555555,11.89,5.023717777777778,0.001228982222222222,0.102436,60.60273333333333,4.844995555555556,14.78608888888889,39.67117777777778
35280,0.1875,2106.908888888889,142.4591111111111,83.42557777777778,4.853686666666667,2.884726666666667,11.893,5.024626666666667,0.001246064444444444,0.1049242222222222,60.94964444444444,4.853595555555556,14.79008888888889,39.67808888888889
35640,0.1875,2107.308888888889,142.44,84.07731111111111,4.862186666666667,2.886135555555555,11.89508888888889,5.025617777777778,0.001262355555555556,0.1073633333333333,61.29046666666667,4.862186666666667,14.79408888888889,39.68417777777778
36000,0.1875,2107.708888888889,142.43,84.71804444444444,4.870486666666667,2.887626666666667,11.898,5.026617777777778,0.001277937777777778,0.1097524444444444,61.62328888888889,4.870486666666667,14.79808888888889,39.69017777777778
36360,0.1875,2108.008888888889,142.4191111111111,85.34686666666667,4.878777777777778,2.889035555555556,11.90008888888889,5.027517777777778,0.00129282,0.1120915555555556,61.94911111111111,4.878777777777778,14.80208888888889,39.69608888888889
36720,0.1875,2108.408888888889,142.4091111111111,85.96559999999999,4.886777777777778,2.890526666666667,11.903,5.028426666666667,0.001306911111111111,0.1143997777777778,62.26802222222223,4.886777777777778,14.80608888888889,39.70117777777778
37080,0.1875,2108.908888888889,142.3991111111111,86.57233333333333,4.894677777777778,2.891926666666667,11.90508888888889,5.029326666666667,0.001320393333333333,0.1166497777777778,62.57984444444445,4.894677777777778,14.81008888888889,39.70708888888889
37440,0.1875,2109.308888888889,142.39,87.16706666666667,4.902468888888889,2.893326666666667,11.908,5.030226666666667,0.001333275555555556,0.1188588888888889,62.88566666666667,4.902468888888889,14.81308888888889,39.71117777777778
37800,0.1875,2109.708888888889,142.38,87.75088888888889,4.910068888888889,2.894635555555555,11.91,5.031117777777778,0.001345557777777778,0.121018,63.18357777777778,4.910068888888889,14.81708888888889,39.71608888888889
38160,0.1875,2110.108888888889,142.37,88.32353333333334,4.917468888888889,2.896026666666667,11.91208888888889,5.032017777777778,0.001357148888888889,0.1231362222222222,63.4754,4.917468888888889,14.82108888888889,39.72108888888889
38520,0.1875,2110.508888888889,142.37,88.88335555555555,4.92476,2.897326666666667,11.91408888888889,5.032817777777778,0.00136824,0.1252044444444445,63.76122222222222,4.92476,14.82408888888889,39.72517777777778
38880,0.1875,2110.908888888889,142.36,89.432,4.931951111111111,2.898626666666667,11.917,5.033617777777778,0.001378722222222222,0.1272144444444445,64.03913333333334,4.93186,14.82808888888889,39.73008888888889
39240,0.1875,2111.308888888889,142.35,89.96882222222222,4.938851111111111,2.899926666666667,11.919,5.034417777777778,0.001388713333333333,0.1291826666666667,64.31195555555556,4.938851111111111,14.83108888888889,39.73408888888889
39600,0.1875,2111.708888888889,142.35,90.49355555555556,4.945651111111111,2.901126666666667,11.921,5.035217777777778,0.001398195555555555,0.1310817777777778,64.57777777777778,4.945651111111111,14.835,39.73808888888889
39960,0.1875,2112.108888888889,142.34,91.00628888888889,4.952251111111111,2.902426666666667,11.92308888888889,5.035917777777778,0.001407086666666667,0.1328991111111111,64.83668888888889,4.952251111111111,14.83808888888889,39.74208888888889
40320,0.1875,2112.5,142.34,91.50700000000001,4.9587,2.9036,11.925,5.0366,0.0014154,0.13469,65.09099999999999,4.9587,14.841,39.747
40320,0.1875,2112.5,142.34,91.50700000000001,4.9587,2.9036,11.925,5.0366,0.0014154,0.13469,65.09099999999999,4.9587,14.841,39.747
51120,0.1875,2120.8,142.25,101.4773170731707,5.08600975609756,2.929418292682927,11.967,5.048318292682927,0.001546991463414634,0.1707974390243902,70.06184146341464,5.08600975609756,14.909,39.83
61920,0.1875,2124.2,142.23,104.8497777777778,5.128297777777778,2.9416,11.981,5.0483,0.001586597777777778,0.1827994444444444,71.70592222222223,5.128297777777778,14.935,39.865
72720,0.1875,2125.3,142.23,105.78,5.1398,2.9463,11.984,5.0448,0.001607898888888889,0.1860498888888889,72.13097777777777,5.1398,14.943,39.88098888888889
83520,0.1875,2125.9,142.23,106.04,5.1429,2.9491,11.985,5.041001111111111,0.001624098888888889,0.1868698888888889,72.2209888888889,5.1429,14.947,39.89
94320,0.1875,2126.4,142.24,106.12,5.1438,2.9517,11.985,5.0378,0.001638097777777778,0.18706,72.229,5.1438,14.949,39.898
