Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
3.5042,0.1,2130,141.92,100.47,5.0797,3.0024,11.993,5.0024,0.00057419,0.11942,71.521,5.0803,15.008,40.011
3.6873,0.1,2130,141.92,100.43,5.0811,3.0026,11.993,5.0026,0.00055916,0.11041,71.513,5.0823,15.008,40.011
3.8181,0.1,2130,141.92,100.39,5.0857,3.0027,11.993,5.0027,0.00054864,0.10495,71.552,5.0867,15.008,40.011
3.933,0.1,2130,141.92,100.36,5.0901,3.0028,11.992,5.0028,0.00053953,0.10294,71.593,5.0905,15.008,40.011
4.048,0.1,2130,141.93,100.36,5.0933,3.0029,11.992,5.0029,0.00053058,0.104,71.623,5.0931,15.008,40.011
4.1629,0.1,2130,141.93,100.38,5.0943,3.0029,11.992,5.0029,0.00052182,0.1074,71.628,5.0935,15.008,40.011
4.2779,0.1,2130,141.93,100.41,5.093,3.0029,11.992,5.0029,0.0005133,0.1117,71.607,5.092,15.007,40.011
4.4221,0.1,2130,141.93,100.45,5.0894,3.003,11.992,5.003,0.00050294,0.11599,71.555,5.0885,15.007,40.011
4.5524,0.1,2130,141.93,100.47,5.0858,3.0031,11.992,5.0031,0.00049389,0.1174,71.504,5.0854,15.007,40.011
4.6828,0.1,2130,141.93,100.47,5.0834,3.0032,11.991,5.0032,0.00048511,0.11623,71.467,5.0836,15.007,40.011
4.8131,0.1,2130,141.93,100.46,5.0831,3.0033,11.991,5.0033,0.00047654,0.1134,71.452,5.0835,15.007,40.011
4.9435,0.1,2130,141.93,100.44,5.0844,3.0034,11.991,5.0034,0.00046817,0.11038,71.459,5.085,15.007,40.011
5.1041,0.1,2130,141.94,100.43,5.0872,3.0035,11.99,5.0035,0.00045808,0.10829,71.481,5.0874,15.007,40.01
5.2647,0.1,2130,141.94,100.43,5.0892,3.0036,11.99,5.0036,0.00044828,0.1089,71.497,5.089,15.006,40.01
5.4254,0.1,2130,141.94,100.44,5.0893,3.0037,11.99,5.0037,0.0004388,0.11141,71.492,5.0888,15.006,40.01
5.586,0.1,2130,141.94,100.47,5.0876,3.0038,11.99,5.0038,0.00042967,0.11405,71.466,5.0871,15.006,40.01
5.7661,0.1,2130,141.94,100.49,5.0852,3.0039,11.989,5.0039,0.00041985,0.11531,71.43,5.085,15.006,40.01
5.9463,0.1,2130,141.94,100.49,5.0838,3.004,11.989,5.004,0.00041042,0.11439,71.405,5.0839,15.006,40.01
6.1264,0.1,2130,141.95,100.49,5.0842,3.0041,11.989,5.0041,0.00040134,0.11248,71.4,5.0843,15.005,40.01
6.3768,0.1,2130,141.95,100.48,5.0859,3.0042,11.988,5.0042,0.00038923,0.11119,71.409,5.0859,15.005,40.01
6.6273,0.1,2130,141.95,100.49,5.0865,3.0044,11.988,5.0044,0.00037773,0.11249,71.407,5.0862,15.005,40.009
6.8777,0.1,2129.9,141.95,100.51,5.0852,3.0045,11.988,5.0045,0.00036689,0.11439,71.383,5.0849,15.005,40.009
7.1359,0.1,2129.9,141.95,100.52,5.0837,3.0046,11.987,5.0046,0.00035637,0.11465,71.356,5.0836,15.004,40.009
7.3941,0.1,2129.9,141.96,100.52,5.0836,3.0048,11.987,5.0048,0.00034646,0.11356,71.345,5.0836,15.004,40.009
7.7238,0.1,2129.9,141.96,100.53,5.0844,3.0049,11.986,5.0049,0.00033459,0.11313,71.343,5.0843,15.004,40.009
8.0535,0.1,2129.9,141.96,100.54,5.0841,3.0051,11.986,5.0051,0.0003236,0.11435,71.33,5.0839,15.004,40.008
8.3832,0.1,2129.9,141.96,100.55,5.083,3.0052,11.985,5.0053,0.00031348,0.11502,71.306,5.0829,15.003,40.008
8.713,0.1,2129.9,141.97,100.56,5.0827,3.0054,11.985,5.0054,0.00030416,0.11455,71.292,5.0827,15.003,40.008
9.1449,0.1,2129.9,141.97,100.56,5.083,3.0056,11.984,5.0056,0.00029304,0.11458,71.283,5.0829,15.003,40.007
9.5769,0.1,2129.9,141.97,100.58,5.0824,3.0058,11.984,5.0058,0.00028311,0.11545,71.264,5.0823,15.002,40.007
10.28,0.1,2129.9,141.98,100.59,5.0818,3.0061,11.983,5.0061,0.00026928,0.11555,71.237,5.0817,15.002,40.006
10.983,0.1,2129.9,141.98,100.6,5.0816,3.0064,11.982,5.0064,0.000258,0.11604,71.218,5.0815,15.001,40.006
11.686,0.1,2129.9,141.99,100.62,5.081,3.0067,11.981,5.0067,0.000249,0.11653,71.194,5.0809,15,40.005
12.389,0.1,2129.9,141.99,100.63,5.0808,3.0069,11.98,5.0069,0.00024198,0.11679,71.176,5.0807,15,40.004
13.093,0.1,2129.8,141.99,100.64,5.0804,3.0072,11.98,5.0072,0.0002367,0.1173,71.158,5.0803,14.999,40.004
14.206,0.1,2129.8,142,100.66,5.08,3.0076,11.979,5.0076,0.00023138,0.11779,71.132,5.0799,14.999,40.003
15.775,0.1,2129.8,142.01,100.68,5.0795,3.008,11.977,5.008,0.000229,0.11859,71.1,5.0794,14.998,40.001
18.282,0.1,2129.7,142.02,100.7,5.0789,3.0087,11.975,5.0087,0.00023407,0.11966,71.06,5.0788,14.996,39.999
21.574,0.1,2129.6,142.03,100.72,5.0783,3.0095,11.972,5.0095,0.00025097,0.12081,71.022,5.0783,14.994,39.996
